172.19.0.1 - - [09/Nov/2019:15:16:25 +0000] "-" 408 - "-" "-"
172.19.0.1 - - [09/Nov/2019:16:25:10 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:16:26:02 +0000] "-" 408 - "-" "-"
172.19.0.1 - - [09/Nov/2019:16:43:17 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:16:43:19 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:16:43:19 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:16:43:31 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:16:43:33 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:16:46:10 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:16:46:12 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:16:47:02 +0000] "-" 408 - "-" "-"
172.19.0.1 - - [09/Nov/2019:17:01:45 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:17:01:53 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:17:02:37 +0000] "-" 408 - "-" "-"
172.19.0.1 - - [09/Nov/2019:17:13:40 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:17:14:44 +0000] "-" 408 - "-" "-"
172.19.0.1 - - [09/Nov/2019:17:17:40 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:17:17:42 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:17:17:43 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:17:17:44 +0000] "GET / HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
172.19.0.1 - - [09/Nov/2019:17:18:32 +0000] "-" 408 - "-" "-"
172.19.0.1 - - [13/Jan/2020:08:46:03 +0000] "GET / HTTP/1.1" 301 299 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
[13/Jan/2020:08:46:09 +0000] 172.19.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET / HTTP/1.1" 2
172.19.0.1 - - [13/Jan/2020:08:46:55 +0000] "-" 408 - "-" "-"
[15/Jan/2020:00:17:34 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET / HTTP/1.1" 318
[15/Jan/2020:00:17:44 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /text.php HTTP/1.1" 16
[15/Jan/2020:00:17:51 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET / HTTP/1.1" 318
[15/Jan/2020:00:17:53 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /index.html HTTP/1.1" 2
[15/Jan/2020:00:17:54 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET / HTTP/1.1" 318
[15/Jan/2020:00:20:34 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /phpadmin HTTP/1.1" 270
[15/Jan/2020:00:20:37 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET / HTTP/1.1" 318
[15/Jan/2020:00:23:08 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /text.php HTTP/1.1" 16
[15/Jan/2020:00:40:43 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /text.php HTTP/1.1" 16
[15/Jan/2020:00:42:17 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /text.php HTTP/1.1" 16
[15/Jan/2020:00:43:15 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET / HTTP/1.1" 2
[15/Jan/2020:00:43:24 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /test.php HTTP/1.1" 270
[15/Jan/2020:00:43:39 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /test HTTP/1.1" 270
[15/Jan/2020:00:43:46 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /test.php HTTP/1.1" 270
[15/Jan/2020:00:43:49 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /test.php HTTP/1.1" 270
[15/Jan/2020:00:45:51 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /test.php HTTP/1.1" 273
[15/Jan/2020:00:45:52 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET /test.php HTTP/1.1" 273
[15/Jan/2020:00:46:11 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET / HTTP/1.1" 273
[15/Jan/2020:00:46:13 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET / HTTP/1.1" 273
[15/Jan/2020:00:46:14 +0900] 172.19.0.1 TLSv1.3 TLS_AES_128_GCM_SHA256 "GET / HTTP/1.1" 273
